location,dummy
62_7,1
62_12,2
106_2,3
106_11,4
106_84,5
131_108,6
175_174,7
178_176,8
192_191,9
194_193,10
197_191,11
198_195,12
199_192,13
199_193,14
199_195,15
199_196,16
199_197,17
203_195,18
204_195,19
207_191,20
207_192,21
212_103,22
212_109,23
212_134,24
242_241,25
267_192,26
267_193,27
267_195,28
267_196,29
267_197,30
267_200,31
267_205,32
267_207,33
270_117,34
282_119,35
286_76,36
300_212,37
304_106,38
304_111,39
304_125,40
305_242,41
307_242,42
313_2,43
348_237,44
357_270,45
428_268,46
436_435,47
444_163,48
453_234,49
453_235,50
453_237,51
453_346,52
453_347,53
472_193,54
472_197,55
472_200,56
472_206,57
472_470,58
472_471,59
473_472,60
475_191,61
475_193,62
475_195,63
475_196,64
475_197,65
475_200,66
475_205,67
475_207,68
475_472,69
475_473,70
475_474,71
476_195,72
476_205,73
477_476,74
497_304,75
536_242,76
546_9,77
558_221,78
574_9,79
576_195,80
576_472,81
577_297,82
577_298,83
577_529,84
583_2,85
591_229,86
597_29,87
608_492,88
622_353,89
622_412,90
656_242,91
656_307,92